,STATE,YEAR,PRES_DEM_VOTES,PRES_REP_VOTES,PRES_DEM_RATIO,PRES_REP_RATIO
0,ALABAMA,2000,695602.0,944409.0,0.4241447161025139,0.5758552838974861
1,ALABAMA,2004,693933.0,1176394.0,0.3710222864771775,0.6289777135228225
2,ALABAMA,2008,813479.0,1266546.0,0.39109097246427327,0.6089090275357267
3,ALABAMA,2012,795696.0,1255925.0,0.38783771466562295,0.6121622853343771
4,ALABAMA,2016,729547.0,1318250.0,0.35625943391849874,0.6437405660815012
5,ALABAMA,2020,849624.0,1441170.0,0.3708862516664528,0.6291137483335473
6,ARIZONA,2000,685341.0,781652.0,0.46717400832860145,0.5328259916713985
7,ARIZONA,2004,893524.0,1104294.0,0.4472499496951174,0.5527500503048827
8,ARIZONA,2008,1034707.0,1230111.0,0.4568609928038368,0.5431390071961633
9,ARIZONA,2012,1025232.0,1233654.0,0.4538661977629681,0.5461338022370319
10,ARIZONA,2016,1161167.0,1252401.0,0.4810997659896054,0.5189002340103945
11,ARIZONA,2020,5016429.0,4985058.0,0.5015683167912931,0.49843168320870684
12,ARKANSAS,2000,422768.0,472940.0,0.47199310489579194,0.5280068951042081
13,ARKANSAS,2004,468631.0,572770.0,0.4500005281346955,0.5499994718653045
14,ARKANSAS,2008,422310.0,638017.0,0.3982827938928274,0.6017172061071726
15,ARKANSAS,2012,394409.0,647744.0,0.3784559464877038,0.6215440535122961
16,ARKANSAS,2016,380494.0,684872.0,0.35714862310229534,0.6428513768977047
17,ARKANSAS,2020,1695728.0,3042588.0,0.3578756672201685,0.6421243327798315
18,CALIFORNIA,2000,5861203.0,4567429.0,0.5620298999907178,0.43797010000928216
19,CALIFORNIA,2004,6737355.0,5501496.0,0.5504891758221421,0.44951082417785787
20,CALIFORNIA,2008,8274473.0,5011781.0,0.622784495915854,0.3772155040841459
21,CALIFORNIA,2012,7854285.0,4839958.0,0.6187281116329663,0.3812718883670338
22,CALIFORNIA,2016,8753788.0,4483810.0,0.6612822054272989,0.3387177945727012
23,CALIFORNIA,2020,11110250.0,6006429.0,0.6490891136066756,0.3509108863933243
